region,latitude,longitude,production_type,representative_stock,cage_sandbox,evidence_boundary
挪威海—峡湾沿岸,65.0,10.0,海水网箱养殖,大西洋鲑,True,可进入网箱鱼情景沙盘；默认环境值为可调演示输入
东地中海—爱琴海,37.2,25.2,海水网箱养殖,欧洲海鲈、金头鲷,True,可进入网箱鱼情景沙盘；默认环境值为可调演示输入
智利巴塔哥尼亚峡湾,-43.5,-73.5,海水网箱养殖,鲑鳟类,True,可进入网箱鱼情景沙盘；默认环境值为可调演示输入
日本黑潮—濑户内海,33.6,133.5,海水网箱养殖,鰤鱼、真鲷,True,可进入网箱鱼情景沙盘；默认环境值为可调演示输入
中国南部近岸,21.8,113.4,海水网箱养殖,海鲈、石斑鱼,True,可进入网箱鱼情景沙盘；默认环境值为可调演示输入
东印度洋群岛近岸,-5.0,116.0,海水网箱养殖,石斑鱼、军曹鱼,True,可进入网箱鱼情景沙盘；默认环境值为可调演示输入
南澳大利亚近岸,-35.2,137.6,海水网箱养殖,黄尾鰤、金枪鱼养殖背景,True,可进入网箱鱼情景沙盘；默认环境值为可调演示输入
秘鲁—智利洪堡流,-22.0,-73.5,捕捞渔业背景,鳀鱼、沙丁鱼等小型中上层鱼,False,仅作全球渔业空间背景，不代入网箱鱼生理模型
西印度洋—阿拉伯海,9.0,63.0,捕捞渔业背景,金枪鱼及类金枪鱼,False,仅作全球渔业空间背景，不代入网箱鱼生理模型
加州上升流沿岸,35.5,-123.0,捕捞与贝类养殖背景,中上层鱼、蟹类、贝类,False,仅作全球渔业空间背景，不代入网箱鱼生理模型
墨西哥湾,25.5,-89.5,捕捞与贝类养殖背景,虾类、鱼类、牡蛎,False,仅作全球渔业空间背景，不代入网箱鱼生理模型
