参数,演示值,单位,解释边界,参数属性
HAB主效应权重,0.34,无量纲,藻华危害压力对相对生理压力的贡献,公开可检查的科研原型设定
热异常主效应权重,0.18,无量纲,MHW强度经平滑变换后的贡献,公开可检查的科研原型设定
低氧主效应权重,0.23,无量纲,有效DO不足经平滑变换后的贡献,公开可检查的科研原型设定
养殖密度主效应权重,0.1,无量纲,密度负荷经平滑变换后的贡献,公开可检查的科研原型设定
HAB×热异常权重,0.1,无量纲,复合压力交互项,公开可检查的科研原型设定
低氧×密度权重,0.08,无量纲,复合压力交互项,公开可检查的科研原型设定
摄食×低氧权重,0.07,无量纲,摄食代谢负荷代理交互项,公开可检查的科研原型设定
热异常平滑中心,1.5,°C,科研原型的平滑响应中心；非通用阈值,公开可检查的科研原型设定
低氧平滑中心,4.8,mg L⁻¹,科研原型的平滑响应中心；非监管阈值,公开可检查的科研原型设定
密度平滑中心,18.0,kg m⁻³,科研原型的平滑响应中心；非养殖标准,公开可检查的科研原型设定
增氧演示增益,1.5,mg L⁻¹,情景假设；不代表具体设备能力,公开可检查的科研原型设定
藻华退出半衰期,12.0,h,事件持续期后的压力衰减假设,公开可检查的科研原型设定
参数不确定性缩放,0.15,±比例,对综合挑战强度作±15%敏感性包络,公开可检查的科研原型设定
